Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,TRUE,TRUE,English,2012-06-28 0:28
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,TRUE,FALSE,English,2011-06-09 6:03
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,TRUE,FALSE,English,2015-06-28 22:35
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,TRUE,TRUE,English,2014-06-27 13:51
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,TRUE,FALSE,Japanese,2013-11-02 14:39
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,TRUE,FALSE,English,2012-04-28 3:03
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,TRUE,TRUE,English,2014-09-14 10:21
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,TRUE,FALSE,English,2012-08-22 19:36
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,TRUE,FALSE,German,2010-05-31 13:45
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,TRUE,FALSE,English,2012-07-14 23:39
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,TRUE,TRUE,French,2013-03-25 23:44
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,TRUE,FALSE,Russian,2014-08-28 6:38
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,TRUE,FALSE,English,2011-07-29 19:17
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,TRUE,FALSE,English,2013-01-13 7:03
Stray228,972961650,93750,36971,10290,773712,197486,23738903,TRUE,FALSE,Russian,2013-02-19 9:36
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,TRUE,TRUE,English,2012-05-26 13:34
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,TRUE,FALSE,English,2013-06-07 14:25
lestream,955346835,253395,47638,3652,883706,124020,25815105,TRUE,FALSE,French,2017-02-09 13:29
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,TRUE,FALSE,Russian,2014-08-14 11:23
Method,905107560,230940,148350,4135,401400,132108,22813009,TRUE,FALSE,English,2016-04-12 22:19
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,TRUE,FALSE,English,2011-12-21 18:18
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,TRUE,FALSE,English,2012-12-25 6:50
shroud,888505170,30240,471281,29612,7744066,833587,30621257,TRUE,FALSE,English,2012-11-03 15:50
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,TRUE,FALSE,Portuguese,2020-03-31 21:12
buster,884353800,59295,97838,14195,1087377,1052053,37351933,TRUE,FALSE,Russian,2015-03-25 12:23
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,TRUE,FALSE,English,2011-05-07 9:53
Baiano,859718520,85860,107069,9229,425797,363343,19412227,TRUE,FALSE,Portuguese,2016-11-30 21:19
tmxk319,857951685,116400,71933,7173,427926,367486,17151766,TRUE,FALSE,Korean,2017-02-18 3:56
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,TRUE,FALSE,Russian,2012-11-15 15:24
elded,853049385,110940,44758,7699,2601858,1108422,14789437,TRUE,FALSE,Spanish,2014-12-02 3:28
LPL,850636305,48765,146577,17573,502467,280538,31029241,TRUE,FALSE,English,2016-05-16 18:37
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,TRUE,FALSE,Spanish,2016-04-11 3:34
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,TRUE,FALSE,Portuguese,2013-05-29 17:47
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,TRUE,FALSE,French,2019-02-12 13:11
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,TRUE,FALSE,Portuguese,2012-02-28 1:58
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,TRUE,FALSE,Russian,2012-08-22 19:59
uzra,812362125,208785,14181,3683,185506,29752,20715640,TRUE,FALSE,Chinese,2010-04-08 8:53
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,TRUE,FALSE,English,2016-10-20 21:24
Thijs,794621265,108720,24923,7180,755116,68557,15548337,TRUE,FALSE,English,2014-02-17 20:50
Swagg,790021440,108375,74199,6309,784966,723082,7527027,TRUE,FALSE,English,2013-01-27 1:38
TeePee,789698115,170010,78741,4410,520519,238257,17102146,TRUE,TRUE,English,2011-08-03 23:02
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,TRUE,FALSE,English,2019-04-03 3:47
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,TRUE,TRUE,Czech,2012-10-03 18:52
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,TRUE,FALSE,English,2017-07-07 16:21
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,TRUE,FALSE,English,2015-02-03 7:50
aceu,744620970,118125,26141,6328,859439,763489,15894732,TRUE,TRUE,English,2015-04-19 4:47
shuteye_orange,728551080,325935,7441,2217,85247,29549,18572922,TRUE,TRUE,Chinese,2011-10-02 14:30
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,TRUE,FALSE,Turkish,2017-07-16 18:45
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,TRUE,FALSE,English,2011-12-20 12:13
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,TRUE,FALSE,English,2010-08-07 0:42
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,TRUE,FALSE,Italian,2012-12-15 19:13
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,TRUE,FALSE,Polish,2012-10-07 1:10
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,TRUE,TRUE,Russian,2012-06-06 11:36
ddahyoni,711864630,152445,17253,4534,322895,46946,15586820,TRUE,FALSE,Korean,2015-09-17 11:57
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,TRUE,FALSE,English,2014-07-31 11:35
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,TRUE,FALSE,Spanish,2013-06-17 18:54
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,TRUE,FALSE,French,2013-11-24 21:40
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,TRUE,FALSE,English,2018-02-26 2:02
Domingo,662502810,65610,102022,11423,829700,276400,23040428,TRUE,FALSE,French,2013-02-05 19:20
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,TRUE,FALSE,English,2013-04-23 9:48
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,TRUE,FALSE,English,2012-09-27 10:42
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,TRUE,FALSE,English,2012-08-06 23:53
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,TRUE,FALSE,English,2009-07-15 3:02
mobilmobil,652685055,126120,16497,5303,446426,34362,20520762,TRUE,TRUE,Chinese,2012-04-04 23:37
Destiny,650910525,162690,24101,3894,571183,115692,8579344,TRUE,TRUE,English,2010-11-22 4:14
woowakgood,650364705,158850,14177,4100,591500,207575,18626351,TRUE,FALSE,Korean,2013-09-15 15:22
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,TRUE,TRUE,English,2014-02-20 20:22
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,TRUE,FALSE,Russian,2015-08-20 12:13
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,TRUE,FALSE,English,2011-02-27 20:19
lol_ambition,639445965,113415,57254,5332,362297,108498,17248420,TRUE,FALSE,Korean,2017-04-07 4:07
jukes,628079220,76605,24263,8165,1327059,353576,19915875,TRUE,FALSE,Portuguese,2014-12-14 17:07
muse_tw,625892895,446655,16702,1397,121053,120954,13670649,TRUE,TRUE,Chinese,2019-07-29 8:05
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,TRUE,FALSE,German,2013-02-27 1:49
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,TRUE,FALSE,Spanish,2012-09-26 21:50
dogdog,622199835,103335,24727,5856,594239,50345,12089717,TRUE,FALSE,English,2014-04-16 8:27
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,TRUE,FALSE,English,2014-08-25 22:11
Locklear,619247415,108450,50103,5512,824676,469017,17854413,TRUE,FALSE,French,2016-10-18 13:22
blusewilly_retry,618755280,100515,17585,5941,374480,42764,18366224,TRUE,FALSE,Chinese,2011-09-12 14:14
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,TRUE,FALSE,English,2016-05-29 5:04
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,TRUE,FALSE,English,2009-06-28 3:45
Sfory,612617325,73590,75219,3197,457502,450299,12391816,TRUE,FALSE,Russian,2013-10-01 7:06
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,TRUE,FALSE,English,2011-05-22 18:12
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,TRUE,FALSE,Italian,2014-11-23 23:57
zilioner,601906185,97545,43164,5843,465887,121506,18265409,TRUE,FALSE,Korean,2014-07-15 4:40
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,TRUE,FALSE,Portuguese,2014-03-01 3:00
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,TRUE,FALSE,French,2011-12-30 11:17
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,TRUE,FALSE,Spanish,2012-06-19 22:03
jinu6734,597275955,121545,12810,4710,274875,90213,9977487,TRUE,FALSE,Korean,2016-08-11 15:00
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,TRUE,FALSE,English,2011-09-22 13:10
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,TRUE,FALSE,English,2018-01-06 23:21
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,TRUE,FALSE,Russian,2013-05-24 10:35
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,TRUE,FALSE,English,2012-06-20 21:05
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,TRUE,TRUE,English,2013-10-16 16:40
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,TRUE,TRUE,Turkish,2013-11-22 7:16
Anton,581034300,142890,137531,3199,207484,128050,6176254,TRUE,TRUE,English,2014-06-07 21:22
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,TRUE,FALSE,English,2014-07-22 20:19
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,TRUE,FALSE,Russian,2012-03-01 18:16
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,TRUE,TRUE,Spanish,2015-12-14 9:46
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,FALSE,TRUE,English,2016-04-08 12:31
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,TRUE,FALSE,Polish,2012-10-16 5:48
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,TRUE,FALSE,Polish,2015-11-18 16:26
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,TRUE,FALSE,English,2017-06-08 10:28
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,TRUE,TRUE,Turkish,2015-01-06 17:59
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,TRUE,FALSE,Turkish,2009-06-10 1:02
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,TRUE,FALSE,English,2011-10-20 0:13
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,TRUE,TRUE,English,2010-09-05 19:51
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,TRUE,FALSE,Spanish,2015-06-28 23:25
