Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
sleepy,231452460,107280,8855,2103,317125,254462,3295029,TRUE,FALSE,English,2016-09-20 3:54
FifaTargrean,231025755,170820,6721,1353,396862,66121,7798628,TRUE,FALSE,Thai,2016-09-05 21:46
GrandPOObear,231011760,101175,13295,2230,253619,44926,3877237,TRUE,TRUE,English,2013-12-25 22:27
Pun1shers_TV,230552955,123345,6289,1961,82289,51159,4148542,TRUE,FALSE,Greek,2014-08-02 9:43
gamelifeow,229805670,99600,37939,1659,234471,169229,8373012,TRUE,FALSE,Russian,2011-02-21 16:09
Sh4dowehhh,229762950,112875,11788,2012,84234,70619,6477747,TRUE,FALSE,Russian,2013-08-17 11:14
LuluLuvely,229749045,107070,10110,2178,431852,360592,6019198,TRUE,FALSE,English,2015-06-30 8:39
Swifty,229431480,122160,19884,1572,615027,71011,8647522,TRUE,FALSE,English,2011-07-18 2:06
Mibrtv,228640020,82620,151094,3310,250709,242229,6671227,TRUE,FALSE,Portuguese,2009-03-06 10:23
PsheroTV,228376905,184215,10739,1166,202779,59927,5384623,TRUE,TRUE,English,2011-11-24 13:23
bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,TRUE,FALSE,Spanish,2020-04-05 17:49
Alderiate,227675805,69030,11480,3337,319860,80730,5471250,TRUE,FALSE,French,2014-12-18 17:56
Solaaaa,227479455,96375,16718,2227,309594,107558,5135340,TRUE,FALSE,German,2013-06-17 9:36
Strippin,227458650,121575,9127,1816,293665,19904,3115313,TRUE,FALSE,English,2011-06-29 0:00
Mendo,226473345,99480,25321,1959,518090,176007,5487693,TRUE,TRUE,English,2014-02-25 19:14
Pikabooirl,225939795,103740,21309,2146,237214,78399,5574448,TRUE,FALSE,English,2012-02-05 7:39
Skadoodle,225401640,89955,30357,2318,611890,219104,5373229,TRUE,TRUE,English,2009-06-25 13:07
MasterSnakou,225243465,124275,12948,1786,448316,73137,6565757,TRUE,FALSE,French,2013-04-06 9:42
lucia94,224762820,141705,8886,1603,82578,37026,5801449,TRUE,FALSE,Korean,2016-01-18 14:48
Otzdarva,222546390,91905,14940,2387,262104,146762,3176930,TRUE,FALSE,English,2014-04-29 4:48
cherrypach,222377040,94125,10985,2369,240835,90457,6606649,TRUE,FALSE,Korean,2015-02-20 20:21
Opat04,222161730,116775,9497,1814,178477,109720,6632006,TRUE,FALSE,Czech,2018-07-29 18:45
icebergdoto,221837100,52380,16441,3746,171113,84551,6944929,TRUE,FALSE,Russian,2016-02-14 16:49
P4wnyhof,221823735,181830,7196,1205,489174,6719,6891131,TRUE,FALSE,German,2014-09-21 15:03
Mazarin1k,220905615,202410,9605,780,205378,68292,9980766,TRUE,FALSE,Czech,2012-01-02 18:20
kimdduddi,219998175,90750,7244,2318,149158,67954,3549865,TRUE,FALSE,Korean,2017-02-27 1:48
rooftopcat99,218888325,92805,8794,2256,214028,59213,5969221,TRUE,FALSE,Korean,2016-11-04 8:00
KingGothalion,218707740,34875,41994,5792,1015521,44907,3349456,TRUE,FALSE,English,2013-05-22 12:28
ItsSlikeR,218576850,95655,12762,2317,283503,154360,5243404,TRUE,TRUE,English,2013-01-31 20:34
Alinity,218509065,90150,17341,2441,1203324,255987,13908506,TRUE,FALSE,English,2012-12-23 20:17
TidesofTime,218415420,88485,12457,2104,251700,27110,2240586,TRUE,FALSE,English,2011-02-22 12:11
GernaderJake,218318010,146295,21162,1347,295771,70693,8847646,TRUE,FALSE,English,2008-08-18 23:27
sutanmi,217833015,80190,7854,2683,53124,16505,3473483,TRUE,FALSE,Japanese,2012-10-31 15:18
DarioMocciaTwitch,217475940,103995,8160,1749,114376,96707,4356099,TRUE,FALSE,Italian,2013-12-12 0:47
bebe872,217343400,212205,4965,1087,70232,51251,2383295,TRUE,FALSE,English,2019-02-25 22:44
Lasqa,216969405,72210,10010,2863,135446,25351,5298356,TRUE,TRUE,Russian,2014-04-13 17:16
qttsix,216951540,154035,9671,1412,118305,23620,8174656,TRUE,FALSE,Chinese,2010-10-16 19:16
Flight23white,216792240,31455,74388,7522,828896,704583,2016920,TRUE,FALSE,English,2013-11-09 2:20
Heelmike,216316170,101400,18963,2115,308927,208795,3406743,TRUE,TRUE,English,2015-07-17 22:04
OGADotaPIT,216072855,18705,60846,10161,157820,48664,8333671,TRUE,FALSE,English,2014-03-18 16:16
SoloRenektonOnly,215806260,122985,5118,1735,391603,74554,4581141,TRUE,FALSE,English,2012-05-02 18:43
OfficialAndyPyro,215726910,209625,9676,1027,255595,29422,10284627,TRUE,TRUE,Finnish,2013-07-13 17:34
k3soju,215233395,125865,7504,1647,76666,70939,2609837,TRUE,FALSE,English,2016-07-02 0:15
SkyrrozTV,215122605,85890,17061,2185,597890,216436,6233611,TRUE,FALSE,French,2013-11-29 14:48
LeBouseuh,214699305,61455,24497,3678,988237,351530,4545514,TRUE,FALSE,French,2015-07-19 13:46
BikeMan,214504440,136845,7223,1486,264192,11101,3531376,TRUE,TRUE,English,2012-07-25 6:32
Rubini,214130175,161985,5521,1284,102528,43426,7976244,TRUE,TRUE,Portuguese,2016-01-18 21:43
JLWaliid,213819030,94875,19603,2239,272391,246417,4345817,TRUE,FALSE,French,
qSnake,212541900,152955,5441,1389,200878,37641,6296155,TRUE,FALSE,Russian,2014-09-20 1:48
Criken,212449905,113040,11050,1828,285509,32753,3593487,TRUE,TRUE,English,2010-10-16 21:57
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,TRUE,FALSE,English,2013-03-11 22:01
Broxah,212141310,46605,13137,4269,317896,209200,5351294,TRUE,FALSE,English,2013-05-14 15:24
JonVlogs,212114490,81180,21617,2239,480299,261559,3260166,TRUE,FALSE,Portuguese,2015-10-09 14:36
ImSoFresh,211617645,180060,5788,1119,111954,36095,3673955,TRUE,FALSE,French,2013-12-03 21:33
BeBePtv,211307910,110010,14353,1865,57205,24674,63847323,TRUE,FALSE,Russian,2016-01-16 22:43
TrilluXe,210899220,79170,27943,2095,412495,95629,7212835,TRUE,FALSE,German,2014-01-31 21:19
landonorris,209499930,30120,97550,6524,584831,457635,12694726,TRUE,FALSE,English,2017-09-19 23:01
LotharHS,208564530,152235,14561,898,251812,136198,6742783,TRUE,FALSE,Polish,2013-09-22 12:24
ElcanaldeJoaco,208060515,20445,48072,8673,810622,758797,4893535,TRUE,TRUE,Spanish,2019-04-16 22:59
CzechCloud,207938580,145050,8212,978,180668,111145,9000160,TRUE,FALSE,Czech,2012-06-18 22:06
chess24,207560115,82035,32856,1603,66198,49745,20337169,TRUE,FALSE,English,2014-11-16 17:51
TheNo1Alex,206694345,176910,8554,1105,140855,30883,7225371,TRUE,FALSE,English,2015-02-22 4:22
Crystal_LoL,206487075,139725,7471,1466,167132,98846,5571500,TRUE,FALSE,Turkish,2014-05-05 21:28
WeAreTheVR,206446935,75975,20851,2688,410814,85526,9512134,TRUE,TRUE,Hungarian,2014-06-01 0:43
AdzTV,206255820,137250,11247,1443,489577,167548,4236933,TRUE,FALSE,French,2017-08-19 15:38
IrmanPlay,205792560,42570,17697,2612,252042,232876,3312084,FALSE,FALSE,Russian,2014-04-25 19:06
Tomato,205792050,76080,5358,2675,92634,36010,2200922,TRUE,TRUE,English,2013-05-20 22:38
pjs9073,205748130,79215,15654,2597,193757,115990,5979215,TRUE,FALSE,Korean,2016-09-13 3:16
runitup247,205746015,486000,1182,422,91608,30397,2424188,TRUE,FALSE,English,2018-05-24 20:09
NeZaK_,205442370,134205,7262,1407,255840,207722,3017013,TRUE,FALSE,Italian,2017-10-25 14:31
xkwhd,205225605,179595,9938,1139,142209,50675,4794915,TRUE,FALSE,Korean,2017-09-23 5:31
skill4ltu,205017270,135510,4049,1503,127741,46398,4548052,TRUE,TRUE,English,2015-12-28 14:17
ilMasseo,204889125,92370,8980,2184,617665,436741,4364008,TRUE,FALSE,Italian,2014-02-01 9:32
Worrun_,204440715,94455,41881,1728,146163,103762,3425022,TRUE,TRUE,English,2013-07-31 12:20
brax,204330900,26010,28736,5295,574927,282648,4449212,TRUE,FALSE,English,2012-03-16 3:54
rewinside,204116820,48420,24167,4455,1259972,372220,5349508,TRUE,FALSE,German,2013-07-29 1:48
sah_yang,204029970,125325,7143,1559,206794,108366,7584329,TRUE,FALSE,Korean,2016-11-08 15:03
HAchubby,203908095,73110,13675,2779,221461,159519,5075885,TRUE,FALSE,English,2018-02-07 4:29
Recrent,203854050,129375,6781,1502,220789,120204,8936320,TRUE,FALSE,Russian,2013-01-08 16:53
iLame,203117655,161025,4911,1243,233263,66490,9831952,TRUE,TRUE,Russian,2015-04-07 7:08
ixxYjYxxi,203102445,37305,15223,5459,857099,409932,2378245,TRUE,FALSE,Arabic,2015-09-10 11:37
Wingsofdeath,202858185,144150,7176,1343,473157,6267,2534023,TRUE,FALSE,English,2012-04-30 6:48
mang0,202842615,140325,24391,1403,328671,53694,3077795,TRUE,TRUE,English,2011-12-04 2:08
Kamikatze,202635300,126900,8509,1586,107476,36955,4997073,TRUE,FALSE,German,2015-11-20 16:16
Philza,202591425,62925,24611,2991,527540,292543,5158370,TRUE,FALSE,English,2009-01-11 15:17
Kurumx,202487955,131190,16413,1543,50286,49439,2485867,TRUE,FALSE,English,2011-02-28 1:21
Pieface23,201823125,93360,14072,2149,238155,127444,2037389,TRUE,FALSE,English,2013-12-03 21:14
CurtisRyan,201233880,162660,7245,1205,65688,33141,3760730,TRUE,TRUE,English,2014-08-31 4:47
CalebDMTG,200582400,121635,5446,1608,71327,9005,1563033,TRUE,FALSE,English,2012-08-27 2:47
MarkiLokurasY,200552295,71070,26329,2714,923377,417223,7000112,TRUE,FALSE,Spanish,2014-11-23 17:47
JLBichouu,200256675,90720,16461,2039,212578,150452,4001304,TRUE,FALSE,French,2017-09-05 23:20
nanayango3o,199960005,122025,6411,1589,147351,63332,4789098,TRUE,FALSE,Korean,2016-10-22 14:00
DavyJones,199829100,48375,44526,4111,955846,454965,10940319,TRUE,FALSE,Portuguese,2013-01-29 3:40
Fairlight_Excalibur,199826220,163650,19156,1208,408958,5162,1645770,TRUE,FALSE,English,2014-01-14 16:39
PG_Esports,199821495,107715,24734,1933,112874,41935,16923320,TRUE,FALSE,Italian,2013-12-04 15:28
StreamerHouse,199501650,496545,12609,402,630255,10659,2800864,TRUE,FALSE,English,2013-06-14 15:50
Peereira7,198252765,133800,14532,1377,377689,361206,6222094,TRUE,TRUE,Spanish,2017-11-21 18:07
Twitch,198083340,12015,130795,9190,1189614,223168,46395022,TRUE,FALSE,English,2007-05-22 10:39
Sev7n,197315655,183630,31836,1037,469944,225963,7453572,TRUE,FALSE,Portuguese,2014-07-25 4:24
Wardiii,196743645,104280,9459,1670,76777,31905,3970743,TRUE,FALSE,English,2011-12-22 20:59
tranth,196585155,142260,5451,1402,85764,11733,5114165,TRUE,FALSE,Korean,2013-04-25 14:12
Kubon_,195943620,145845,9545,1323,267984,25721,6142647,TRUE,FALSE,Polish,2012-02-27 19:51
KarasMai,195800370,138300,6728,1374,281664,139915,3975842,TRUE,FALSE,English,2016-03-09 5:23
Sloot,195525465,207555,21283,937,205002,23506,4415937,TRUE,FALSE,English,2012-03-29 22:36
LPMassive,195448335,81270,18813,2181,315264,22874,2409670,TRUE,FALSE,German,2013-02-23 0:53
roger9527,195398655,34620,12707,5401,131484,22369,4197860,TRUE,FALSE,Chinese,2014-07-05 5:11
ChicaLive,195344370,92445,14928,2045,1041932,631422,2776587,TRUE,FALSE,English,
d_obby,195270330,129525,16860,1401,195405,153300,5913454,TRUE,FALSE,Korean,2016-09-09 16:43
Valkia,194961090,106335,23519,1008,308459,146451,8091070,TRUE,FALSE,English,2009-01-16 1:40
caps,194376465,17865,26754,10170,479368,270611,6373471,TRUE,FALSE,English,2016-07-11 20:52
gueigotv,194262165,134895,9918,1373,165232,25466,6005834,TRUE,TRUE,Chinese,2013-08-25 5:44
Alfie,194074230,181755,15588,971,183885,33462,3380440,TRUE,FALSE,English,2011-08-16 23:55
NiceWigg,193912155,130140,13013,1475,184033,111498,2871081,TRUE,FALSE,English,2019-02-12 0:04
zEkO,193867860,44970,21313,4440,743040,370683,5338943,TRUE,TRUE,Spanish,2015-09-05 2:18
x6FlipiN,193573740,61095,19304,2712,279204,186655,6462906,TRUE,TRUE,Spanish,2012-01-26 13:22
JASONR,193460805,188205,33902,992,777611,136800,6183865,TRUE,FALSE,English,2015-09-29 6:06
Dhalucard,192609885,83400,22306,1828,269408,97678,7444967,TRUE,FALSE,German,2010-09-27 7:57
duckmanzch,192428310,129945,14684,1363,122694,75228,9240202,TRUE,FALSE,Thai,2017-06-04 17:37
MrBboy45,191523465,110835,9408,1659,318995,57504,6445684,TRUE,FALSE,French,2011-03-12 23:31
ses836,190448565,157200,7683,1213,105730,29332,5099767,TRUE,FALSE,Korean,2013-09-08 7:55
AladdinTV,189890160,131490,4279,1416,110211,45168,4298260,TRUE,FALSE,German,2015-04-07 23:33
miniminter,189756300,41400,27188,4215,858427,588461,16598800,TRUE,FALSE,English,2013-02-01 0:12
ClintStevens,189206565,40125,15223,4445,393432,102753,2303521,TRUE,FALSE,English,2015-03-25 9:46
NoctisAK47,189081300,171270,7264,1052,73584,41176,6381664,TRUE,TRUE,Thai,2016-12-07 10:55
Daxak,188764350,84855,7721,2061,116897,64239,5857325,TRUE,FALSE,Russian,2013-04-04 7:19
ThaldrinLol,188750280,112095,11305,1671,521166,95126,7822019,TRUE,FALSE,Turkish,2013-07-25 13:05
olyashaa,187722975,77730,9142,2296,559877,138621,14210392,TRUE,FALSE,Russian,2015-10-19 9:03
Jay3,187658970,165585,9514,1111,189654,124100,3079327,TRUE,FALSE,English,2016-08-26 21:11
SovietWomble,187497450,63360,9616,2900,1368076,214775,5846971,TRUE,TRUE,English,2014-07-31 14:19
GodHunt,187099860,94590,19032,1820,202883,30738,7464390,TRUE,FALSE,Russian,2012-02-17 21:22
Everyeyeit,187019640,133125,18421,1236,86590,42213,52155951,TRUE,FALSE,Italian,2013-11-25 15:34
Speedrun,186800430,500010,16604,375,93358,51098,13863239,TRUE,FALSE,English,2014-08-15 10:19
iamSometimes,186597300,102870,23238,2004,179552,99162,4766495,TRUE,FALSE,Thai,2016-08-05 12:12
Broeki1,186562710,141675,13091,1317,150944,25995,4702541,TRUE,TRUE,German,2013-03-16 1:42
hexy,186060390,90495,14020,2092,336093,20006,2855592,TRUE,FALSE,English,2012-01-19 23:56
Etoiles,185982570,78165,45364,2090,220873,167386,6466352,TRUE,FALSE,French,2015-03-22 1:44
xChocoBars,185905980,96300,37216,1917,583881,107350,8679867,TRUE,FALSE,English,2013-04-18 2:59
GN_GG,185795730,108075,4859,1715,91514,14734,3333965,TRUE,FALSE,Russian,2015-07-10 21:41
SheriffEli,185394810,143400,5988,1291,265814,11832,2355559,TRUE,TRUE,English,2017-01-12 8:19
iateyourpie,184820460,181335,10962,987,124020,7942,4878552,TRUE,FALSE,English,2012-01-27 23:33
KYR_SP33DY,184233300,95055,6607,1879,706212,66637,2451110,TRUE,FALSE,English,2010-03-10 3:25
armateam,183066645,379680,3181,479,187315,8680,3569807,TRUE,FALSE,French,2016-12-21 17:47
JeelTV,182390235,99870,7302,1768,357385,276765,6668409,TRUE,FALSE,French,2016-01-28 16:21
Pengu,182358345,70665,7707,2452,775987,241309,5240516,TRUE,TRUE,English,2015-03-23 20:27
dlxowns45,182309400,79620,10549,2023,346631,124060,5444952,TRUE,FALSE,Korean,2016-10-25 19:27
gabepeixe,181929585,101730,5955,1788,149362,25034,2795325,TRUE,TRUE,Portuguese,2014-03-28 21:16
TSM_TheOddOne,181908120,188445,4363,913,864087,-15772,6370949,TRUE,FALSE,English,2012-04-27 1:42
luke4316live,181729410,307005,2757,636,168531,36988,4795414,TRUE,FALSE,Italian,2013-05-19 13:59
VGBootCamp,181431360,77085,97791,1534,521938,24798,5491154,TRUE,FALSE,English,2010-01-09 21:35
CapcomFighters,181252125,23850,84858,5684,348447,20205,12878708,TRUE,FALSE,English,2012-10-03 14:55
Datto,181075290,71400,82047,2122,530822,89739,4566171,TRUE,TRUE,English,2013-04-10 4:50
NeverSayYesTwitch,180978855,115455,10771,1357,194933,176218,3381154,TRUE,FALSE,French,2015-07-03 18:03
BeatportOfficial,180850230,27765,48457,5300,126546,124653,36484452,TRUE,FALSE,English,2019-08-22 14:09
portialyn,180674100,128385,4498,1349,39485,29698,2460689,TRUE,FALSE,Korean,2017-03-23 12:43
kanetv8,180360300,130365,10087,1313,141167,52606,7004305,TRUE,FALSE,Korean,2016-07-25 9:29
Sanchovies,180166830,141225,15588,1250,154845,145102,3924344,TRUE,FALSE,English,2016-02-13 0:58
GhostFreak66,179939730,107295,94791,1029,111646,89879,2471382,TRUE,TRUE,English,2013-12-25 19:00
RTAinJapan,179880525,16155,42822,8383,71730,44766,2700751,TRUE,FALSE,Japanese,2016-09-17 12:44
WankilStudio,179581950,17235,28866,10173,726730,274734,5141210,TRUE,FALSE,French,2012-06-13 11:22
SLAKUN10,179262330,9555,48358,18906,1874932,1874846,5835029,TRUE,FALSE,Spanish,2020-04-12 14:28
Monkeynews,179083095,154965,72483,1288,80290,54112,4978021,TRUE,TRUE,English,2012-05-16 16:59
forever,178945815,29625,53702,5300,373484,360874,2863254,TRUE,FALSE,Portuguese,2019-12-13 4:28
AlpTV,178729455,38625,33059,2913,576276,257474,6685553,TRUE,FALSE,Turkish,2015-08-21 2:22
Crocodyle_lol,178727670,96000,8810,1802,107835,77142,3657348,TRUE,TRUE,French,2015-09-02 3:35
WARDELL,178718460,127155,16215,1394,306435,288200,5304936,TRUE,TRUE,English,2015-08-22 3:27
Tiagovski555YT,178563045,76065,11245,2061,220585,130719,5057048,TRUE,FALSE,Portuguese,2018-08-08 22:15
Altair,178537155,145605,3702,1183,42265,19448,2779740,TRUE,TRUE,French,2018-01-14 13:23
NiteNightKid,178419030,149040,29228,1127,28818,11998,1450208,TRUE,TRUE,English,2013-09-13 22:35
fuslie,178245645,67560,45247,2504,336394,116757,7152158,TRUE,FALSE,English,2015-02-21 22:39
Tyceno,177947595,42825,40407,4015,297359,250536,1623230,TRUE,TRUE,English,2015-08-21 6:14
Faux,177800325,151170,15167,1133,237909,29301,3248586,TRUE,FALSE,English,2013-03-04 16:54
RiotGamesTurkish,177746055,23835,36258,7414,651994,49244,9998277,TRUE,FALSE,Turkish,2012-09-29 1:01
makataO,177510525,182775,12292,910,391656,137135,7336811,TRUE,FALSE,Russian,2013-05-28 9:39
Drjayfisto,177159195,155340,4092,1105,130341,41353,6201998,TRUE,TRUE,English,2013-05-11 2:17
CarTmaNzbs,176608230,96615,7809,1793,386948,65268,13183429,TRUE,FALSE,Russian,2013-11-01 21:26
Th3Antonio,176072760,62175,13955,2419,223756,87872,5222867,TRUE,FALSE,Spanish,2013-01-07 0:28
BigEx,176005440,96870,21401,1569,256448,138235,1947938,TRUE,FALSE,English,2019-02-08 23:30
BigSpinCR,175255470,92970,21815,1824,185784,81726,2995202,TRUE,FALSE,German,2017-01-14 20:35
Maghla,175236000,77505,16695,2124,329065,234216,6831650,TRUE,TRUE,French,2016-08-03 8:42
Becca,174842160,115200,11405,1500,357844,56356,4198030,TRUE,FALSE,English,2012-08-30 3:02
SirhcEz,174824130,133410,5928,1279,579629,34334,3081725,TRUE,FALSE,English,2012-02-03 9:05
twlevewinsHS,174228915,102900,5425,1711,38410,31257,1353428,TRUE,FALSE,English,2015-06-30 18:50
collet11,174087030,136065,6144,1248,215304,73181,5543661,TRUE,FALSE,Korean,2015-02-01 1:19
Zombie_Barricades,173823135,228765,4497,735,172386,60031,2219053,TRUE,TRUE,English,2012-09-12 3:34
NBA2KLeague,173779995,28245,48495,4264,143535,42942,67586924,TRUE,FALSE,English,2018-03-28 18:27
XBOCT,173672880,35970,20110,4473,318230,78529,5635774,TRUE,FALSE,Russian,2013-01-09 3:28
shtan_udachi,173627565,87210,7220,1929,100852,22524,3970603,TRUE,FALSE,Russian,2015-04-23 13:31
orslok,173607810,52005,21759,3082,327888,269085,5048873,TRUE,FALSE,Spanish,2011-09-25 9:46
BRNWOWZK1,173484990,365670,6981,465,173713,87295,5330221,TRUE,TRUE,Portuguese,2012-09-01 17:16
HellYeahPlay,173443275,103830,3946,1706,136885,31088,5014047,TRUE,FALSE,Russian,2014-12-03 1:58
game2eye,173015430,96045,5698,1669,183891,22221,5266599,TRUE,FALSE,Korean,2014-11-12 5:43
grafo,172499415,111105,7165,1544,414577,173024,5627155,TRUE,FALSE,Spanish,2013-02-12 20:07
xTheSolutionTV,172316145,78030,16093,2027,320629,103800,2778565,TRUE,FALSE,German,2014-02-02 19:38
Igromania,172086390,186960,6159,939,184078,13710,115312954,TRUE,FALSE,Russian,2013-05-14 10:43
Back2Warcraft,171822405,93345,8309,1697,94929,21267,4016790,TRUE,FALSE,German,2011-09-08 19:47
sam1268,171602475,35805,11861,4538,148702,20433,5691145,TRUE,TRUE,Chinese,2012-04-04 8:29
10000DAYS,171293220,131565,11193,1255,356683,158473,10528149,TRUE,FALSE,Turkish,2013-05-11 5:53
iProMx,171223080,36000,8874,4576,151788,80190,1637792,TRUE,FALSE,French,2015-02-25 7:22
zzamtiger0310,171115545,90345,6217,1876,185684,46791,6693148,TRUE,FALSE,Korean,2016-04-01 5:26
GingiTV,171013470,89805,6450,1713,156597,45047,5117439,TRUE,FALSE,English,2012-02-15 21:36
venruki,170464680,133110,13179,1264,292558,44449,7127552,TRUE,FALSE,English,2011-03-23 4:06
Pimpeano,170116395,21420,38592,6469,740343,665323,3744461,TRUE,TRUE,Spanish,2017-01-03 23:46
MatteoHS,169885590,141525,5827,1176,428553,221153,4537952,TRUE,FALSE,Italian,2016-05-15 14:04
nugiyen,169858440,159135,8448,996,121984,22377,3448935,TRUE,FALSE,English,2012-06-01 22:51
HighDistortion,169501845,105630,20179,1397,1677690,61126,5125402,TRUE,FALSE,English,2015-03-08 21:23
LuquEt4,169456620,153855,4958,1081,74404,45202,2807619,TRUE,TRUE,Portuguese,2018-10-17 20:45
THump,169365870,92055,8063,1885,250786,115028,2168664,TRUE,TRUE,English,2016-01-03 13:13
MaTaFe_,169215480,153525,8535,1096,116653,106957,4182011,TRUE,TRUE,English,2013-12-31 16:13
rxnexus,169026750,112095,6765,1475,255944,23213,5862326,TRUE,FALSE,Russian,2012-07-16 15:54
VaporaDark,168943005,70650,5041,2338,101359,22193,7610128,TRUE,FALSE,English,2012-12-07 12:46
PaymoneyWubby,168861240,30600,16622,5485,302419,126399,2668187,TRUE,FALSE,English,2012-12-06 3:29
RTGameCrowd,168832200,38685,20354,4259,861594,308499,3736356,TRUE,FALSE,English,2015-04-14 16:12
dda_ju,168767490,108690,9137,1466,205041,52071,3755880,TRUE,FALSE,Korean,2016-10-23 14:42
Bawkbasoup,168736395,130215,7853,1259,94820,27795,2313340,TRUE,TRUE,English,2013-09-04 3:35
wkgml,168416325,76140,10656,2210,415795,150813,6013389,TRUE,FALSE,Korean,2016-11-02 12:01
Werlyb,168339975,57105,37980,2399,204348,146852,5349362,TRUE,FALSE,Spanish,2012-05-07 16:02
TSM_Hamlinz,167898480,11055,51989,15483,2137521,126150,2268382,TRUE,FALSE,English,2014-07-24 17:46
DougisRaw,167875230,153960,22641,1076,127151,74509,2149900,TRUE,TRUE,English,2014-01-05 22:10
Mmorpg,167774640,182925,4994,908,235167,19566,3055373,TRUE,FALSE,English,2013-03-24 20:36
BreaK,167534355,115560,9531,1432,309300,18289,3880016,TRUE,TRUE,English,2012-11-20 23:51
berkriptepe,167325930,32790,24573,4103,622358,281667,5508199,TRUE,FALSE,Turkish,2012-04-04 18:09
Xposed,167309220,111240,8580,1475,266853,147449,2220313,TRUE,TRUE,English,2015-11-04 0:37
moogrr1211,167186250,188805,2008,879,37162,10214,3006979,TRUE,FALSE,Korean,2015-12-24 7:19
BoarControlHS,166892040,153345,3622,1064,79204,39363,2852825,TRUE,FALSE,English,2015-06-15 0:12
Dementardo,166850715,35445,15476,4663,547154,465321,2419659,TRUE,FALSE,Spanish,2017-05-21 6:08
CrReaM,166587645,142350,8098,1150,165906,6207,1614843,TRUE,TRUE,English,2008-10-24 1:34
Xiuder_,166422960,172080,13675,909,312280,298759,3022408,TRUE,FALSE,Italian,2017-06-17 8:54
SmallAnt,166352115,96720,11518,1821,255156,218287,2695198,TRUE,FALSE,English,2016-02-29 10:56
Naowh,165590085,120435,11693,1333,103636,48833,5069397,TRUE,FALSE,English,2013-12-22 8:05
Tonton,165536760,133530,9738,1237,147542,76656,3954958,TRUE,FALSE,French,2014-10-05 7:34
bebelolz,165015915,64650,7592,2488,260119,26670,6966348,TRUE,FALSE,Chinese,2012-04-16 9:18
takesipon,164981160,111600,8103,1534,57634,11867,3983662,TRUE,FALSE,Chinese,2011-05-25 12:46
Vargskelethor,164759730,58395,6577,2809,287063,60041,2147906,TRUE,TRUE,English,2012-02-14 19:42
95pingman,164673495,47430,26738,3449,195423,97696,3424139,TRUE,FALSE,Korean,2016-10-28 12:15
LobosJr,163736505,121335,12709,1332,375646,27173,3970888,TRUE,TRUE,English,2012-03-02 1:31
ZONY,163669320,147990,7172,1118,260125,140806,3739750,TRUE,FALSE,Polish,2015-09-02 20:52
Monstercat,163589370,519675,14261,313,788684,22331,4084222,TRUE,FALSE,English,2012-01-15 3:18
k1ng,163381335,36540,52558,4365,706537,614383,6210317,TRUE,FALSE,Spanish,2018-10-28 4:49
DuelLinksMeta,163307010,89910,5792,1886,88697,33306,6092699,TRUE,FALSE,English,2017-03-07 19:31
Esports_Alliance,163208925,37110,27040,4293,117084,55445,8254877,TRUE,FALSE,Thai,2018-02-14 6:45
lolesportsla,163132800,40950,37187,4586,186208,71514,5283711,TRUE,FALSE,Spanish,2016-12-15 23:04
Vovo,162887760,150555,7268,974,141898,92033,3786059,TRUE,TRUE,Portuguese,2016-10-03 21:56
goncho,162817050,61770,18091,2431,442412,236558,6156791,TRUE,TRUE,Spanish,2016-02-02 17:20
MenosTrece,162738420,107700,7132,1481,470873,190155,5465173,TRUE,FALSE,Spanish,2015-03-20 12:22
swimstrim,162723510,108540,13314,1383,137885,62796,2964244,TRUE,FALSE,English,2016-12-30 23:00
AnneMunition,162714930,99345,37236,1586,621921,65910,10222790,TRUE,FALSE,English,2013-11-14 22:27
Reverse2k,162618315,181665,14160,925,380488,155158,3906784,TRUE,FALSE,English,2014-08-06 6:02
erobb221,162559230,82470,10391,2028,244207,88737,2352357,TRUE,FALSE,English,2015-07-22 12:50
voicetv,162510660,514845,1874,314,3660,1328,4001475,TRUE,FALSE,Thai,2018-03-30 6:22
FFearFFul,162232935,36165,116245,5305,727059,492841,2041776,TRUE,FALSE,Arabic,2012-10-14 21:09
Cryaotic,162138405,85785,7169,1727,813371,24644,2326058,TRUE,TRUE,English,2009-08-25 18:36
Dmitry_Lixxx,161818335,51600,26715,3006,347824,332931,8549523,TRUE,FALSE,Russian,2018-01-04 20:31
Sweatcicle,161489220,137880,14550,1023,160000,120954,2372907,TRUE,TRUE,English,2015-07-21 0:03
tebtv,161468685,69315,13639,2177,76050,59909,10310607,TRUE,FALSE,English,2018-10-22 10:44
lovelyyeon,161371665,140535,4282,1115,108382,74892,5389852,TRUE,FALSE,Korean,2016-12-15 7:18
pankylol,161208750,51015,17394,3141,284563,166114,7887006,TRUE,FALSE,Turkish,2015-02-11 13:03
Alkaizerx,161185890,103950,12430,1312,153870,21706,3152805,TRUE,TRUE,English,2012-09-02 18:16
hastad,160672260,85545,10888,1812,868738,188163,4991368,TRUE,FALSE,Portuguese,2011-12-18 0:05
mirage720,160163880,94005,30706,1638,352412,122225,5107789,TRUE,FALSE,Korean,2016-10-23 11:54
